up,view,danmaku,reply,favorite,coin,share,like,dislike,tname,his_rank
陈抱一,8378854,3355,1555,152969,43676,19893,203550,0,手办·模玩,18
一口仙奶油,4987007,1366,3533,74862,114234,13873,882994,0,绘画,5
李白尼的猜想,14138958,5414,1782,228287,30008,4151,189326,0,科学科普,27
明日方舟,2429989,12090,9108,19364,40020,37834,150555,0,手机游戏,25
粤知一二,6666277,5906,3096,35728,7290,3123,390816,0,搞笑,14
亿点点不一样,3734058,15509,3064,48858,139073,9225,286560,0,科学科普,10
Easter2333,2314567,1099,2049,22817,43150,12092,127838,0,演奏,75
极客湾Geekerwan,1740791,11730,9895,24388,82447,5055,116261,0,数码,13
老戴在此,1439914,10256,6736,6387,10875,7140,42976,0,单机游戏,0
佳莉电台,2672733,882,3371,25065,39227,5719,285956,0,日常,29
巫兔菌,1834528,840,1057,48014,18429,5885,151058,0,VOCALOID·UTAU,0
暴躁的仙人JUMP,1539809,2323,3749,7304,8519,6501,68085,0,财经商业,85
pellek_official,3307339,3582,2319,150990,98836,9506,337069,0,翻唱,8
马刀刻森,1507256,7061,3669,21974,82094,5720,161718,0,短片·手书,34
河野华,3970237,2495,2077,64265,35946,8674,286077,0,仿妆cos,15
超帅气的强哥,4035967,2242,3393,139415,48181,16521,287844,0,MMD·3D,18
会手工的唐爸爸,1154009,3706,1354,7779,34131,3034,48378,0,手工,0
GGAC,2327867,1795,1264,91310,22848,6570,171916,0,综合,30
鲁磊,1594519,2448,1948,23433,19545,1360,212141,0,手工,93
春天一家,2940546,2235,1738,35770,22526,5988,51028,0,三农,0
斑鸠鸭,2138496,6921,3091,28582,53382,4199,99697,0,影视杂谈,83
差评君,777886,370,425,5202,2991,576,24009,0,计算机技术,0
白西瓜SY,643462,458,949,12049,10079,1862,144577,0,仿妆cos,0
叁叔的春天,2572457,650,1381,9960,8645,1557,311293,0,三农,0
S呐_,1701137,4834,2887,30819,79219,19506,102998,0,日常,50
我是梅小贱,1962609,1469,2985,75759,54929,9431,174527,0,演奏,86
老番茄,15106987,135317,37902,606215,2195327,150474,2289636,0,日常,1
诺子喵呜,9109160,2923,6816,111032,207308,9208,1060810,0,出行,1
逗比的雀巢,13433992,8982,5696,194001,483891,24117,956653,0,搞笑,1
吴木良,4215107,3153,8174,80656,261062,14220,665408,0,三农,2
中国国家地理,4277214,42441,8770,186838,497998,85613,490569,0,科学科普,7
盗月社食遇记,3201201,18622,5071,51952,247838,11870,297798,0,美食侦探,8
老明读书,5378446,4800,7840,401291,171458,57634,643300,0,社科·法律·心理,4
Hello吖小志,5721358,2601,4346,121020,282989,15451,815343,0,小剧场,3
他叫阿园,9052446,2404,4421,164395,368634,12970,1470328,0,出行,2
万卷书容,3096394,8870,15145,97928,124347,59610,341672,0,影视剪辑,4
无人知晓孟岩,3200351,15351,5837,272884,219237,55219,274903,0,财经商业,11
江寻千,5415563,4442,3733,156577,214220,17445,561220,0,手工,4
原神,2672556,7684,4876,31529,68777,23956,279575,0,手机游戏,5
方老师来啦,4020485,1592,780,188586,27366,7303,322740,0,短片·手书,44
粤知一二,12898582,10168,9736,108987,17890,10715,754948,0,搞笑,5
豆豆豆豆逗是我,3731129,4006,3513,51621,86255,29295,236256,0,搞笑,15
猛男舞团IconX,1836706,1584,1690,15539,28204,14045,170759,0,宅舞,0
JasonHuangMusic,7162978,4390,4721,326796,139219,34788,647513,0,演奏,11
神奇的老皮,2812408,4406,2119,23449,27477,8707,140099,0,综合,54
极客湾Geekerwan,2150647,11089,8610,4955,6685,5788,59077,0,数码,100
钟文泽,1812793,8647,4173,3254,5755,14726,53795,0,数码,0
泡姆泡姆,2239070,3179,11201,13571,19466,74427,111236,0,单机游戏,56
米尼麦泥轰,9346816,4856,4200,292219,88295,7162,599831,0,短片·手书,4
拉美小姐姐Waleska,1566201,7409,2637,13761,29848,3083,63913,0,乐评盘点,0
泛式,2106792,10652,3921,30860,69055,5013,206616,0,动漫杂谈,11
狂阿弥_,2027657,913,2565,26428,43161,6261,134930,0,原创音乐,50
STN工作室,1492299,13137,2372,15006,53481,4153,97735,0,单机游戏,26
哔哩哔哩弹幕网,2773239,5616,1835,30431,15353,6265,80765,0,校园学习,49
小白测评,1686945,7683,3992,4641,11265,5236,67400,0,数码,0
VikCAI,961151,2485,3835,54588,52583,7728,159792,0,短片·手书,0
初九Haimon,2428480,657,1335,36032,10874,1261,299793,0,仿妆cos,70
你哇哥233,3077919,752,1404,32682,6812,1130,375365,0,翻唱,50
菜男烧小菜,3914436,2214,1505,23808,10109,1681,250735,0,美食制作,61
BettySays,1091006,2331,893,28499,11790,25795,48920,0,穿搭,0
HOPICO,762744,1445,751,22212,15489,5834,60450,0,乐评盘点,0
小桑菜奈,5342297,964,554,75634,6066,659,69350,0,穿搭,0
嘤武罗,26316380,17049,9832,333194,607077,22535,1937903,0,美食制作,1
迷因水母,14236639,21800,8182,812589,794624,158449,1101638,0,人文历史,2
黑猫厨房,9216355,11245,8435,143304,683331,9788,681841,0,手工,2
小潮院长,21409067,42091,12021,303939,302250,19538,713356,0,搞笑,1
人民日报,10873645,10543,5298,85162,91330,24217,525518,0,MV,1
粤知一二,10790471,17430,15146,80605,19626,15653,657003,0,搞笑,2
先看评测,5829051,30467,7969,77158,384248,35384,484135,0,数码,5
喜欢旅拍的阿玮,7241523,13534,3557,189565,342111,11576,561931,0,单机游戏,4
崩坏星穹铁道,5570662,23349,14078,76775,139710,66297,348863,0,手机游戏,2
影视飓风,9156654,46952,14797,102557,282378,67401,469724,0,数码,3
高斯Goh,14209549,42560,4451,170733,151861,6742,483788,0,搞笑,3
原神,3977505,14245,11307,53760,84386,50507,282526,0,手机游戏,5
火柴人AlanBecker,10280715,37053,6116,244348,144800,16314,384504,0,短片·手书,5
山城小栗旬的理发日记,6972306,4163,3724,40353,63824,9385,611742,0,美妆护肤,6
帅soserious,7687673,7608,6409,99233,71192,23866,236062,0,健身,11
极客湾Geekerwan,2957161,24085,14424,24977,106780,25002,150694,0,数码,10
小约翰可汗,4934418,25504,5179,40661,115730,11467,262358,0,人文历史,11
超想吃番茄,1541632,3647,3830,147456,166811,29027,210728,0,手机游戏,15
Mima-密码,3889835,4822,2907,35757,91695,13487,434490,0,美食制作,15
M木糖M,3363782,3592,2165,30221,49262,12579,198890,0,单机游戏,36
乐天乔宇派,10741047,1160,2729,115438,25039,42580,1101296,0,搞笑,6
吟游诗人基德,2438328,5005,4654,15488,15097,8228,113765,0,科学科普,43
枝名真白,1718162,988,1512,31095,37833,3025,223103,0,MAD·AMV,0
贤宝宝Baby,9870503,30931,1496,90581,83836,7230,449084,0,日常,7
剑客范十三,8552759,3120,2063,106708,40194,1028,356378,0,运动综合,10
朵朵花林,1411375,3951,3426,41091,29250,6225,150405,0,穿搭,63
阿里达摩院扫地僧,1114550,1649,2372,16239,16762,6510,76837,0,科学科普,59
阿拉丁狗蛋儿,5649526,5645,7882,79878,141569,110727,471364,0,搞笑,12
修片狂魔,2998466,5163,3339,44656,15779,6867,179559,0,单机游戏,32
真栗,4040147,1691,2654,97495,98063,11382,296439,0,翻唱,30
Joseph的机器,8737626,3281,1962,52208,16843,20338,281590,0,手工,50
Twwrm,2531045,3745,2585,29642,50149,15033,424463,0,宅舞,20
皮科医生魏小博,1673399,1947,3783,148836,54149,23747,103390,0,美妆护肤,36
甜杏仁不可食,1816267,384,1595,72484,45713,18941,300550,0,短片·手书,44
No_Tables,12252844,25473,16190,791913,966560,200282,1303913,0,MMD·3D,1
万灵缝合厂,12034623,21072,8165,257659,367711,59483,902141,0,鬼畜剧场,2
宇宙无敌汪师傅,3465005,5093,4873,216553,274427,32409,509499,0,绘画,3
哈米伦的弄笛者,4156047,9119,4847,370871,346671,65283,509145,0,短片·手书,2
崩坏3第一偶像爱酱,4500141,20696,23168,80036,138093,137848,337438,0,手机游戏,4
薪儿姐师尊,7596360,17184,5792,53050,74804,59927,645892,0,小剧场,1
北京青年x壹次访谈录,3441297,4785,5836,16931,16861,2732,132003,0,短片,18
HoYoFair,3947230,3599,3297,342948,170520,38523,538900,0,综合,2
木鱼水心,3346541,28093,7426,37157,89990,16340,177104,0,影视杂谈,7
粤知一二,13139261,10023,10997,70575,17346,9626,734390,0,搞笑,3
Meetfood觅食,11464134,15721,5789,179640,157405,13143,307962,0,美食侦探,2
泛式,3948256,15605,10549,92992,170230,34613,283935,0,动漫杂谈,4
顾我电影,5765805,8058,2808,83138,62608,7267,318716,0,影视杂谈,12
原神,4654644,14585,12747,56845,97251,51738,269450,0,手机游戏,1
老番茄,4895325,3176,1614,17008,13942,2690,164723,0,手机游戏,18
特效小哥studio,2060140,2313,2488,116490,113473,15621,274470,0,综合,5
小缸,1309876,12080,4792,28060,149363,7497,120843,0,日常,10
耿同学讲故事,3112006,16651,7617,32133,56544,14332,191043,0,社科·法律·心理,24
世界记忆大师龙雅,26207533,8731,10714,338298,107214,6143,540331,0,科学科普,8
雨哥到处跑,3548816,9713,1644,43357,94007,3540,330384,0,搞笑,6
小叮当的伙伴们,4834594,2407,3585,35355,23386,12740,347826,0,搞笑,19
小傲想睡觉,4795813,14439,1985,58250,64869,2483,229592,0,汽车生活,8
papi酱,2594420,10597,4817,14196,21504,8992,228899,0,美食测评,9
王者荣耀,1534330,972,4930,3057,5128,9763,40168,0,电子竞技,100
水无月菌,4032053,9677,6542,42430,134043,20165,210807,0,桌游棋牌,12
怕上火暴王老菊,1334205,16985,2975,15179,47810,3013,53939,0,单机游戏,77
剑客范十三,5005029,1890,1893,39865,19552,1490,347215,0,运动综合,25
九三的耳朵不是特别好,1478754,2127,559,11612,11656,1405,85727,0,翻唱,0
三宋在这,2276815,5054,2372,15739,79388,16211,146637,0,日常,38
元莱Yilia,6171280,3810,5150,168630,215391,16055,753436,0,日常,5
小约翰可汗,6342012,37401,8786,36620,128063,7587,272602,0,人文历史,9
江寻千,4308353,9779,4523,110295,184234,15400,295759,0,手工,4
纪不住一周不更up主,4381623,21009,2535,48910,35960,2472,167515,0,人文历史,25
野游记_,3091836,1392,2052,37135,20625,1847,248979,0,出行,17
科技美学,1761604,14062,5541,6200,8987,12449,54839,0,数码,75
浑元Rysn,1680215,1911,2316,9973,19164,4007,99888,0,演奏,0
无法翱翔の纸鹤,2161650,1145,3808,65646,48719,21680,189936,0,MAD·AMV,11
切片计划,2271910,7128,2846,66361,63486,16086,130599,0,影视杂谈,46
宁拨打的用户正忙,2408573,10405,6032,104444,138198,20382,155055,0,科学科普,32
暗区突围,1514693,873,1458,14671,6470,3467,56619,0,手机游戏,0
安秋金,3142269,2884,2589,48549,7570,6150,296199,0,美食制作,18
翠花不太脆,1932643,976,3401,47112,34091,5543,248400,0,原创音乐,21
时空中的绘旅人,1724586,2667,3720,12557,14459,8683,39563,0,手机游戏,0
大沛沛沛吖,461115,229,255,1392,616,131,8475,0,穿搭,0
特效小哥studio,869835,109,122,2795,397,118,15592,0,运动综合,0
酷哥李pink儿,4111553,727,892,82980,3071,4144,41399,0,美妆护肤,0
拉宏桑,13829009,26450,8635,138712,121624,11782,1579125,0,日常,1
YuH_ChiliChill,7610397,8821,8163,489895,401357,88712,560893,0,原创音乐,2
唐小川呀,4065403,28412,9873,107391,471829,32221,433696,0,手工,3
高斯Goh,8064241,21216,4416,132903,115131,4745,339417,0,桌游棋牌,3
阿彭彭阿,8071676,7873,4072,38813,100972,7193,306815,0,美食制作,12
粤知一二,8797415,8525,6140,54209,11006,4590,490466,0,搞笑,5
花少北丶,2029155,16975,4934,62985,177139,6393,230957,0,搞笑,9
特厨隋卞,5499278,13239,7745,32785,103230,17577,227037,0,美食侦探,18
脱缰凯Kk,12832031,5273,2073,101257,27245,5823,504549,0,小剧场,3
小潮院长,15166665,33103,6625,137802,154629,8873,465674,0,手机游戏,1
yoyo鹿鸣_Lumi,3129121,3342,9037,124854,175861,44230,313562,0,MMD·3D,12
马刀刻森,4011187,12696,6415,79958,220741,29034,319567,0,短片·手书,12
王德峰,872490,823,1063,21001,6719,3182,77215,0,人文历史,0
英雄联盟,10651971,20571,19577,113817,144444,121437,321968,0,电子竞技,6
咸鱼超闲余,6070245,4996,1039,83887,182337,4372,431915,0,单机游戏,9
泛式,2528748,4177,8947,95684,196383,33578,231365,0,MAD·AMV,8
李炮炮儿,6133061,5863,5944,47027,33030,4508,438089,0,搞笑,4
崩坏星穹铁道,3032995,51532,8815,46280,84555,11387,217180,0,手机游戏,11
特效小哥studio,2060140,2313,2488,116490,113473,15621,274470,0,综合,5
胖雪人Ozu,2388755,2616,2055,70693,83158,13984,250218,0,演奏,62
电影最TOP,3111673,34534,4461,40990,121529,10852,146022,0,影视杂谈,24
老番茄,3097095,4682,2490,33897,70103,5756,286768,0,单机游戏,11
孙逸轰,3838551,5142,3774,92564,40190,51463,570820,0,搞笑,5
原神,2686754,9104,7240,44735,51030,21586,184512,0,手机游戏,17
张煜东East,7582897,6600,2494,193481,195294,19856,646670,0,绘画,3
hanser,1620281,9582,3639,72172,115666,8785,241096,0,家居房产,8
杜海皇,5494597,23125,3023,60438,76953,3823,261694,0,单机游戏,7
Baka恶魔,1127368,426,1126,16960,4904,1886,137216,0,MAD·AMV,0
李意纯,1878187,2743,1501,29913,175895,3511,259322,0,手工,22
明日方舟,2009399,11750,11459,15489,38107,33120,123450,0,手机游戏,28
罗翔说刑法,1624517,5647,3169,21387,55504,9427,235940,0,社科·法律·心理,20
特雷森食堂,766096,674,1458,9209,2584,4531,60610,0,手机游戏,0
尔东和小明,1128966,642,1106,20840,24627,2607,97752,0,原创音乐,0
Chubbyemu,4106864,17457,9036,36783,36869,30745,242900,0,科学科普,20
Warma,3851492,16465,3951,87466,100426,6803,217154,0,单机游戏,14
Cycle参辰,1263718,582,1317,26172,20596,12780,196335,0,演奏,0
马里奥红叔,7638091,8195,2438,115215,99002,2469,412073,0,单机游戏,7
Tiger西西,10304418,2825,1930,35319,38047,5445,655807,0,美食制作,11
小潮院长,20382369,71194,13233,363395,356339,22154,779442,0,搞笑,1
记录生活的蛋黄派,7505679,15112,1977,117339,262761,7152,668794,0,美食制作,1
异次元流落的一只羊,4534960,7078,6651,152202,103218,31535,569370,0,日常,2
崩坏星穹铁道,5900841,21311,14351,93661,172064,82796,336977,0,手机游戏,1
小约翰可汗,6229229,21881,5199,47705,130438,8163,288051,0,人文历史,2
华农兄弟,4935771,22131,6223,24853,137354,21570,330913,0,野生动物,4
九夜听风,3690606,1633,2660,32145,72210,36597,208857,0,鬼畜剧场,19
顾我电影,8793016,6431,2890,113266,57197,7899,373468,0,影视杂谈,6
SteveMould,5253026,2861,2658,82297,20592,10171,336281,0,科学科普,9
在逃许师傅,3542558,5574,5053,98761,157820,26487,674230,0,家居房产,3
原神,2720507,7324,7820,37236,58398,37012,214793,0,手机游戏,6
老王日记油画,6852200,9838,8951,72716,130523,19250,1071958,0,美食记录,2
渤海小吏,2776116,8054,3819,64243,64021,11279,147582,0,人文历史,11
侃哥侃英语,7714652,4984,4100,25004,3059,2448,298851,0,校园学习,18
硬核的半佛仙人,3316910,3781,6821,17707,12615,19046,137500,0,财经商业,30
脱缰凯Kk,13808431,5695,2555,171461,30900,6124,541522,0,小剧场,3
超Carry的柴西,4660132,4597,2791,17709,16599,3744,120322,0,出行,39
GIDLE_official,5881222,13930,7832,143496,85531,47781,230833,0,MV,7
吃花椒的喵酱,1850972,5254,4507,22187,75721,13486,177773,0,日常,11
汉森白JW,4642721,6667,3126,173780,129122,15161,335314,0,人文历史,44
李合适Riggy,1695560,861,1897,78200,53263,21332,339728,0,短片·手书,43
粤知一二,5945550,5844,6702,38276,7969,5641,379200,0,搞笑,4
单机肥肥王日君,2471588,4704,1728,97661,69060,9399,253823,0,单机游戏,9
归乡人山白,965499,1884,884,5360,15011,886,93163,0,三农,0
久远丶酱,3790678,3203,5371,179350,301392,105774,464209,0,短片·手书,7
papi酱,3122892,3531,9194,12563,28856,14815,341511,0,搞笑,12
塞拉菲娜_Serafina,4220802,1886,4862,163311,162114,30948,316905,0,翻唱,31
曦曦鱼SAKANA,4542899,585,2192,69552,27976,11349,684741,0,手机游戏,21
非非二般,1690398,469,1252,3543,7087,2735,147837,0,三农,0
张志浩在剥柚,773625,2327,1834,9973,4292,1507,40855,0,影视杂谈,0
初九Haimon,2708697,896,1710,63082,17993,2625,258694,0,仿妆cos,67
龙腾虎跃龙兽医,3117419,4348,1951,19456,47099,2544,420926,0,三农,7
泽叔唠妆,503179,13,365,20593,1373,1004,35081,0,美妆护肤,0
贪玩歌姬小宁子,1306280,703,356,3440,2356,499,19933,0,手机游戏,0
食贫道,15361694,155730,49457,769745,2373301,497251,1902004,0,出行,1
老师好我叫何同学,5307702,17863,6362,90049,339226,34288,532074,0,数码,2
赖皮猴爱美食,3156383,4467,4413,225572,154151,38149,219949,0,美食制作,2
大圆哥_,7662496,14932,9427,133849,416793,44110,736072,0,搞笑,2
小潮院长,18707527,58916,7049,257894,266428,18067,625875,0,搞笑,1
华为终端,5552111,3528,573,14924,48300,28098,126841,0,数码,13
原神,4258576,12252,14002,58284,93887,66112,262305,0,手机游戏,2
是个泡泡_Pao,4007088,6438,8565,112255,40286,62775,624420,0,出行,3
Epic游戏商城,1753347,3910,6320,19258,82814,32338,153116,0,综合,6
碰碰彭碰彭,10644118,4233,4692,152425,152905,19459,776342,0,演奏,10
神奇的老皮,2880410,1803,736,20588,21198,4286,201595,0,桌游棋牌,0
硬核的半佛仙人,5917786,6603,12331,58019,36539,88055,213634,0,财经商业,16
Meetfood觅食,12538462,10805,5368,168596,173855,13110,380744,0,出行,2
重返未来1999,3143814,26521,7766,25712,35741,31723,98749,0,手机游戏,31
极速拍档,2100421,12654,2295,28473,105707,3823,150332,0,改装玩车,13
粤知一二,8786048,9229,4835,52541,9849,4463,470338,0,搞笑,8
盗月社食遇记,5540859,11805,5154,27245,91520,21602,241740,0,美食侦探,17
学姐圆,5081466,3221,6196,280040,228722,22760,516114,0,MAD·AMV,9
三十六贱笑,3114540,9882,2118,50706,76098,20765,122643,0,搞笑,20
半堂子,4248940,15246,7136,101477,176966,18399,224309,0,粉丝创作,8
祖娅纳惜,1146016,802,1800,16678,10945,6103,58039,0,原创音乐,78
豫章道乐团,2394120,6006,5093,31648,30880,52836,136621,0,演奏,0
与山0v0,5044244,23097,3093,119153,147441,5326,340098,0,单机游戏,7
BBoxer酋长,4203187,3833,3872,86520,127037,18828,319050,0,演奏,17
塑料叉FOKU,3630424,7393,2951,22948,55198,4608,168810,0,日常,29
STN工作室,1812807,12018,2254,16219,54876,2858,116041,0,单机游戏,16
崩坏3第一偶像爱酱,1292558,6403,5925,13467,17839,28377,90642,0,手机游戏,43
KBShinya,2156339,1392,2827,85850,72842,11977,115265,0,VOCALOID·UTAU,36
东尼ookii,1785039,3465,2338,17177,55416,3190,134537,0,出行,33
小宇菇菇,2502084,677,620,21450,11724,3093,197486,0,美食制作,48
毒影子,1060262,594,604,21636,6395,9880,113893,0,短片·手书,0
时少权,3826131,8572,4664,95693,60050,10490,236647,0,短片·手书,24
火影忍者手游情报君,979487,1486,2610,4822,2815,9693,32732,0,手机游戏,0
张志浩在剥柚,1529379,6782,1697,31286,10262,2563,141813,0,影视杂谈,0
Ghdsealas,2343529,1961,1374,144542,137421,9998,177542,0,综合,18
我是晴天-麻辣晴子,2503909,1068,1339,9458,3376,3210,144668,0,美食制作,0
含亮老师,1437768,2247,992,9643,15213,2832,78793,0,运动综合,0
盆克吉他手AA,2738423,464,864,43600,10735,12543,270154,0,演奏,58
鹦鹉梨,2182207,4732,1636,53827,21934,3699,224432,0,穿搭,0
梁大件,1455727,448,669,54082,8644,3923,61554,0,美妆护肤,0
哎呀老付,3448298,4095,7589,115534,278172,10566,449925,0,动漫杂谈,1
小潮院长,17239638,46705,6246,205431,234313,11362,561610,0,搞笑,1
三代鹿人,3967260,9111,4933,51599,111689,25056,224130,0,影视杂谈,3
极客湾Geekerwan,4552689,32093,16867,25435,89547,65055,194183,0,数码,5
木鱼水心,9646749,26762,12819,569010,1221689,79507,1150751,0,影视杂谈,1
英雄联盟,6354075,7858,15579,94784,90192,87468,188788,0,网络游戏,10
三拾视频,6065367,2374,1974,169832,316563,6042,722622,0,影视剪辑,2
明日方舟终末地,4433939,21770,21388,49995,107833,136909,249007,0,手机游戏,1
旋风博文,4146931,939,2915,205168,147879,14673,684441,0,短片·手书,21
樱萍Apple,5560828,11445,7067,18595,31680,26247,304578,0,音乐综合,15
崩坏星穹铁道,3107490,9208,10738,36016,58149,32669,242263,0,手机游戏,3
檀东东Tango,1954068,6111,5030,435408,169029,43369,199407,0,软件应用,9
永琪吗,2851190,799,1516,23622,31250,4941,298807,0,搞笑,6
晓观队长,5657573,9091,1526,154107,53629,16903,225578,0,穿搭,31
东东翔,4002690,3553,1438,60014,110056,2673,673197,0,绘画,4
二重螺旋,3407507,4137,7738,22197,18785,25728,86246,0,手机游戏,15
塑料叉FOKU,3164310,52919,3364,13857,28854,7313,106749,0,日常,44
河野华,2700168,1054,2854,89269,80997,10211,342722,0,仿妆cos,12
Linksphotograph,2610143,11629,4050,119289,146934,64358,217355,0,出行,8
一鹿有车,2492254,11135,4212,16843,30350,16772,103040,0,汽车生活,44
粤知一二,6364828,9365,4503,30734,6678,4434,384111,0,搞笑,9
日食记,4046812,7717,4639,34118,26659,44082,198509,0,美食制作,13
盒子酸奶,9747770,6508,1565,249057,36959,3776,293342,0,单机游戏,5
渤海小吏,2025477,17411,2619,24410,70140,5531,95934,0,人文历史,20
游戏星GameStar,2323771,8371,4678,33770,41596,23810,82207,0,单机游戏,39
大象放映室,2464534,7101,1879,51049,149227,7766,192811,0,人文历史,12
脱缰凯Kk,8585484,3070,1454,55195,17594,1743,336505,0,小剧场,7
毕的二阶导,1585496,627,519,24472,3723,1803,181166,0,科学科普,0
Yooupi食途,1444411,12215,3729,6445,33392,4763,89292,0,三农,49
忘川风华录,2304416,4122,9346,71427,81369,27474,115038,0,VOCALOID·UTAU,17
二宫雪朔,792767,3799,1869,46448,22635,4868,59203,0,穿搭,0
汤木檀泽,4235498,4513,2608,72839,12455,2735,389668,0,日常,12
李合适Riggy,954063,589,1222,31636,37134,7229,151291,0,短片·手书,0
翁家梁Richard,2149402,1035,1631,87314,73586,12194,288069,0,演奏,0
淮秀帮,1783256,693,1565,22851,9870,16483,219825,0,搞笑,32
归乡人山白,2018770,2462,1125,22279,34047,3951,249542,0,三农,34
Kevin的木头,1281295,2315,1092,17417,4191,1826,181178,0,手工,0
裘丹莉,1241976,3698,2587,102655,166596,24193,255164,0,原创音乐,9
写竹人,4426810,3167,2618,70239,26747,9693,464242,0,绘画,13
王德峰,795291,2583,2622,27745,14827,13369,44628,0,社科·法律·心理,0
城阳电工电路,11265993,37678,21440,258452,539278,215039,1478900,0,科工机械,1
小傲想睡觉,9860329,71838,7506,198569,314462,10019,524861,0,搞笑,1
之涵大战L大超,6574592,5974,8374,61239,196092,33001,470304,0,短片,3
纪录频道Nature,12119428,33722,11117,212845,115291,86927,593506,0,动物二创,4
毕导,4669698,18632,6982,82714,248247,47969,471232,0,日常,2
小约翰可汗,4266933,24844,7265,42431,130074,8459,267719,0,人文历史,4
明月沧澜,3451162,3968,1612,79592,25390,8489,204476,0,单机游戏,9
小白测评,3364142,19595,10665,20245,56018,19903,121045,0,数码,29
庄子HD,4154394,2176,2246,17592,11443,1463,67156,0,出行,0
嘤武罗,8808820,10388,2301,102312,138043,4230,591209,0,美食制作,7
影视飓风,2170138,6408,3786,61807,97005,15636,220878,0,日常,12
白荆回廊,7500974,2264,2590,49770,57038,4117,115613,0,手机游戏,4
史蒂猪StevenPig,11043310,6362,1540,168533,147267,6544,370842,0,单机游戏,11
王者荣耀,10134513,19795,2917,40178,58042,8511,212449,0,电子竞技,2
粤知一二,6298530,7722,6006,37360,10668,4677,378607,0,搞笑,4
我是刘大悦le,4514576,747,1828,26622,3192,7196,325223,0,小剧场,8
吴木良,5851489,4825,2226,138026,84807,10208,339029,0,三农,18
王者荣耀世界,3456337,21056,26964,10619,8620,53989,120624,0,网络游戏,33
吃不饱仨战士,2748254,3770,3071,8966,40653,7732,219506,0,美食侦探,10
No-Solution篮球,6355085,2705,2569,174163,48106,51822,661331,0,篮球,4
我是凡人繁星,1582959,2078,2862,18781,12172,9931,177307,0,三农,0
派小轩,4596729,748,2116,10004,9391,2615,333448,0,小剧场,22
硬核的半佛仙人,2307007,2661,3577,6717,5982,5660,83367,0,财经商业,0
拉宏桑,4445768,7212,7084,65110,163561,11303,300909,0,日常,11
知名相声演员BBBBB大王,1710745,2367,726,5674,4773,889,80464,0,美妆护肤,0
哦桑ohsan,1889514,844,1122,26126,10007,7702,126326,0,综合,0
崩坏星穹铁道,4020665,10241,8464,50393,70512,29002,252957,0,手机游戏,3
小缸,1315464,29518,8675,63915,281155,18211,173020,0,日常,5
极客湾Geekerwan,1709875,4853,5717,11973,17436,6306,86147,0,数码,89
不会聊天的小七,4127616,1561,1524,39987,30484,29134,310526,0,搞笑,41
勇敢De永,6408479,8093,1950,55771,37488,3100,142849,0,人文历史,50
修一j,1889391,1664,1268,48403,40862,4124,82779,0,极客DIY,0
明日方舟,1090981,8488,3927,15220,26597,11421,92150,0,手机游戏,54
说说Crystal,1572614,798,2233,80416,60411,7721,121268,0,翻唱,59
咻咻满,1344556,946,1740,16602,32116,3076,54485,0,翻唱,0
AHALOLO,573256,2464,784,2176,8468,500,20547,0,时尚潮流,0
SKYE魏,9459373,5562,12422,791119,656483,87719,1308702,0,短片·手书,1
天亮手工,5554627,7562,3618,107185,384555,23743,518458,0,手工,3
papi酱,5718839,7979,9567,87341,402041,73339,625712,0,搞笑,1
水无月菌,4246617,8273,5830,57340,193885,23047,258646,0,桌游棋牌,3
原神,14204496,51033,54622,264705,472287,130720,678865,0,手机游戏,1
努力的Lorre,5198916,7934,6525,23491,19238,42271,207235,0,影视杂谈,8
先看评测,4650447,9384,7855,78930,110256,32300,249701,0,数码,5
纸动画-甄强,4335741,1544,1641,59988,58266,11075,487476,0,绘画,5
电影流浪地球,1774439,4253,7833,42885,55876,43852,177227,0,预告·资讯,28
极客湾Geekerwan,2416148,21816,15993,17974,57350,42673,143655,0,数码,8
木鱼水心,3675488,15549,4898,76618,266062,9706,314169,0,影视杂谈,5
努力生活的西鱼,6595693,10062,7758,63471,81702,22622,333551,0,翻唱,13
网易逆水寒,1643382,17526,7964,24047,22520,13201,45002,0,原创音乐,72
绝区零,6534558,9659,18474,58306,95338,68072,381683,0,手机游戏,1
鹿云清,2194153,771,1653,75252,37716,5186,212553,0,人力VOCALOID,0
王者荣耀,5597071,13685,8152,75690,22211,27601,180900,0,电子竞技,6
果子哥哥工作室,3431632,1091,1696,83319,33733,48230,320024,0,搞笑,15
王一工iMok,3741582,1553,1472,37344,9213,5698,245130,0,家居房产,18
含亮老师,3511491,11149,6961,44642,273038,7763,382487,0,运动综合,8
真实电竞,1031946,3059,3831,1417,5184,1280,42511,0,电子竞技,0
某幻君,6211816,25698,3762,167414,128311,12099,308558,0,单机游戏,7
Stormz67,2698901,793,1115,76987,18538,8566,388789,0,MMD·3D,45
壮烈成仁-,1850898,17850,12440,65350,125075,16208,129111,0,动漫杂谈,9
宝剑嫂,3153995,9844,4044,27145,87489,6600,259944,0,美妆护肤,15
崩坏星穹铁道,2879565,4722,4022,19541,27194,9148,146362,0,手机游戏,17
聒噪的山海君,1855489,2418,2045,8988,31156,9799,107604,0,电子竞技,30
莫娜摸鱼专用,2230858,2661,4143,19560,13579,23130,165637,0,手机游戏,24
星有野,3846902,2324,2066,26035,27922,7827,257536,0,短片·手书,30
y_黑鲨麦旋风,1528985,8615,9539,70257,99752,20656,160938,0,影视剪辑,12
